size,copy-to-device time,copy-from-device time,add time
512,38,13,173
512,33,12,156
512,33,12,150
512,49,14,177
512,35,13,161
512,106,21,307
512,34,12,180
512,33,12,139
512,32,12,130
512,35,13,159
1024,36,13,153
1024,36,15,149
1024,37,14,136
1024,39,29,206
1024,34,13,143
1024,34,14,144
1024,34,13,145
1024,36,13,162
1024,35,14,146
1024,34,13,137
2048,39,14,155
2048,39,16,152
2048,42,16,167
2048,37,15,135
2048,55,14,128
2048,40,15,152
2048,38,15,144
2048,40,14,173
2048,38,14,154
2048,39,15,140
4096,45,18,142
4096,47,18,144
4096,44,26,158
4096,54,17,159
4096,46,18,144
4096,59,18,144
4096,44,18,155
4096,44,17,131
4096,46,18,141
4096,61,17,153
8192,68,26,164
8192,60,23,148
8192,60,24,142
8192,59,23,127
8192,60,24,151
8192,59,35,143
8192,72,24,159
8192,69,24,145
8192,60,38,161
8192,65,25,193
16384,70,33,158
16384,70,33,145
16384,70,33,157
16384,69,34,136
16384,70,32,154
16384,71,34,146
16384,71,33,152
16384,68,52,158
16384,69,34,131
16384,77,33,147
32768,105,55,159
32768,117,55,172
32768,101,55,154
32768,104,55,155
32768,118,61,163
32768,105,55,155
32768,102,54,161
32768,103,55,145
32768,100,54,146
32768,103,55,156
65536,189,98,154
65536,188,98,164
65536,221,129,191
65536,186,99,164
65536,191,98,139
65536,209,97,177
65536,189,98,158
65536,189,99,162
65536,191,122,156
65536,184,98,177
131072,358,185,164
131072,397,205,189
131072,370,200,178
131072,459,233,189
131072,401,194,169
131072,370,187,171
131072,392,189,144
131072,397,190,185
131072,382,192,170
131072,417,190,147
262144,552,276,184
262144,609,289,175
262144,586,288,180
262144,569,283,175
262144,586,306,181
262144,622,301,166
262144,574,279,148
262144,582,293,189
262144,584,289,171
262144,592,298,164
524288,968,492,180
524288,966,481,175
524288,961,465,198
524288,976,484,165
524288,978,518,211
524288,958,486,190
524288,989,476,182
524288,952,465,201
524288,968,473,207
524288,1099,539,191
1048576,1763,861,192
1048576,1779,899,206
1048576,1755,852,189
1048576,1765,868,202
1048576,1776,878,199
1048576,1790,868,204
1048576,2028,975,213
1048576,1819,869,183
1048576,1700,841,195
1048576,1725,903,202
2097152,3343,1724,389
2097152,3472,1654,374
2097152,3297,1617,404
2097152,3366,1685,398
2097152,3282,1624,402
2097152,3316,1688,397
2097152,4679,1600,412
2097152,3324,1682,397
2097152,3325,1647,410
2097152,3355,1694,395
512,78,32,1976
512,52,56,1652
512,54,23,1628
512,51,46,667149
512,37,13,165
512,49,42,639491
262140,725,373,191
262140,817,437,217
262140,783,468,223
262140,551,302,197
262140,774,491,229
262140,570,285,185
262140,997,447,296
262140,872,541,691590
512,53,40,644645

